title,artist
Sur Mon Nom,Caballero & JeanJass
Extasy,Zola
Beleck,13 Block
A A A,PLK
Pas les mêmes,PLK
260,PLK
Go (feat. Krisy),"PLK, Krisy"
Pas besoin,PLK
Colis piégés (feat. Lefa),"PLK, Lefa"
Copine,PLK
High,PLK
Homies,PLK
Ténébreux,PLK
Mi Gna (feat. Hayko) (Maître Gims Remix),"GIMS, Super Sako,"
Habitué,Dosseh
Tu le C,Lorenzo
Santana,Alonzo
Clout (feat. 21 Savage),"Ty Dolla $ign, 21 Savage"
CDM,Lefa
Corazón,GIMS
J'me téléporte (feat. Dadju & S.Pri Noir),"Lefa, Dadju, S.Pri Noir"
Balle au pied (feat. Sneazzy),"Lefa, Sneazzy"
Montana,Lefa
Feu de bois,Damso
Aux paradis,Damso
NMI,Damso
Perplexe,Damso
Smog,Damso
Noir meilleur,Damso
Rose & Bleu,Senamo
Mon survet,Jok'air
Bizarre,"Lorenzo, Vald"
Sharif,Zola
Plongé dans ma folie,Guizmo
Complètement sonné,KeBlack
No Flockin',Kodak Black
Alright,Supergrass
Skrilla (Kodak Black Skrilla),"Young Zio, Tyfoe"
Deviens génial,Vald
Skrt,Kodak Black
Ridin',Riding Dirty
Brest Bay,Stand High Patrol
Now You're Gone (feat. DJ Mental Theos Bazzheadz) (Radio Edit),"Basshunter, DJ Mental Theos Bazzheadz"
NUMB,XXXTentacion
La deb,BRVMSOO
Ténébreux #1,Koba LaD
Hard Twelve (The Ante),Beat Assailant
STARGAZING,Travis Scott
Taking A Walk,Trippie Redd
Solo (feat. Demi Lovato),"Clean Bandit, Demi Lovato"
Air Max,"Rim'K, Ninho"
Nevermind,Dennis Lloyd
Ta marinière,Hoshi
"FEFE (feat. Nicki Minaj, Murda Beatz)","6IX9INE, Nicki Minaj,"
Vert et jaune,Vh Gang
J'aime trop ça,Di-Meh
Chanel,Di-Meh
90210 (feat. Kacy Hill),"Travis Scott, Kacy Hill"
Turtle Feet,"Ikaz Boi, Adamn Killa"
ÇA VA ENSEMBLE,Alpha Wann
The Ringer,Eminem
STUPÉFIANT ET NOIR,Alpha Wann
Cash Time,Hamza
Home (KOD),Playboi Carti
Over Now,Post Malone
El Presidente,Jazzy Bazz
Buenos Aires - Paris,Jazzy Bazz
Stalker,"Jazzy Bazz, Nekfeu,"
Cinq heures du matin,Jazzy Bazz
Normal,Eminem
Not Alike,"Eminem, Royce da 5'9"""
Good Guy,"Eminem, Jessie Reyez"
High (feat. Hamza),"Myth Syzer, Ikaz Boi,"
In My Mind,"Dynoro, Gigi D'Agostino"
Paradis d'amour,Krisy
Cache-Cache,Columbine
Mana,Vald
Billets verts,Maes
Midi dans le ghetto,"4Keus Gang, Ninho"
